,participant,ori_st,ypos_pr,size,resp2.keys,resp2.rt,cond
146,k,I,T,0.8,0.0,0.714124999998603,IB
147,k,I,T,1.4,1.0,0.5187055999995209,IB
148,k,I,T,1.2,1.0,0.4593117000040365,IB
149,k,I,T,1.1,1.0,0.5779448999965098,IB
150,k,I,T,0.6,0.0,0.7146115999930771,IB
151,k,I,T,0.8,0.0,0.8871870000002673,IB
152,k,I,T,1.0,1.0,1.1994248999981207,IB
153,k,I,T,1.0,1.0,0.5675296000117669,IB
154,k,I,T,1.2,1.0,0.6501355000073089,IB
155,k,I,T,1.4,1.0,0.5249320000002626,IB
156,k,I,T,0.6,0.0,0.7552845000027446,IB
157,k,I,T,0.9,0.0,3.245991799994954,IB
158,k,I,T,1.1,1.0,0.818644500002847,IB
159,k,I,T,0.6,0.0,1.137013699990348,IB
160,k,I,T,0.8,0.0,0.8733522000111407,IB
161,k,I,T,1.4,1.0,1.1255947000026936,IB
162,k,I,T,0.6,0.0,0.8299476999964099,IB
163,k,I,T,1.1,1.0,0.9564630999957444,IB
164,k,I,T,1.1,1.0,0.6066705999983242,IB
165,k,I,T,0.8,0.0,0.8212962999969022,IB
166,k,I,T,0.9,0.0,1.5177594999986468,IB
167,k,I,T,0.9,0.0,0.7995017000066582,IB
168,k,I,T,1.4,1.0,0.5619851999945239,IB
169,k,I,T,1.2,1.0,0.7887749000074109,IB
170,k,I,T,1.2,1.0,0.7053432999964571,IB
171,k,I,T,1.0,1.0,1.0695947000058368,IB
172,k,I,T,1.0,1.0,1.0838962999987416,IB
173,k,I,T,0.6,0.0,0.9663129999971716,IB
174,k,I,T,1.1,1.0,0.6224526000005426,IB
175,k,I,T,1.0,1.0,0.8371098999923561,IB
176,k,I,T,0.9,1.0,1.791616500006057,IB
177,k,I,T,1.4,1.0,0.9051393999980064,IB
178,k,I,T,0.8,0.0,1.0636595999967542,IB
179,k,I,T,1.2,1.0,0.619776899999124,IB
180,k,I,T,0.9,1.0,2.6683080999937374,IB
181,k,I,T,1.2,1.0,1.801733499989496,IB
182,k,I,T,1.0,1.0,0.6813627000083216,IB
183,k,I,T,0.6,0.0,0.7178047000052175,IB
