trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
14,0,14,0,,,,,,,140.41968659999839,None,141.40297599999758,142.15256999999838,141.40297599999758,142.15256999999838,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
15,0,15,0,,,,,,,142.16924799999833,None,143.15297499999724,143.90267809999932,143.15297499999724,143.90267809999932,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
16,0,16,0,,,,,,,143.91906279999967,None,144.90277910000077,145.65249739999854,144.90277910000077,145.65249739999854,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
17,0,17,0,,,,,,,145.66887099999803,None,146.65264699999898,147.40222559999893,146.65264699999898,147.40222559999893,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
18,0,18,0,,,,,,,147.4189254999983,None,148.40222519999952,149.15211459999773,148.40222519999952,149.15211459999773,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
19,0,19,0,,,,,,,149.1690020999995,None,150.15225479999935,150.90197819999958,150.15225479999935,150.90197819999958,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
20,0,20,0,,,,,,,150.91872299999886,None,151.90206939999916,152.65172339999845,151.90206939999916,152.65172339999845,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
21,0,21,0,,,,,,,152.66809640000065,None,153.65189629999804,154.4015963999991,153.65189629999804,154.4015963999991,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
22,0,22,0,,,,,,,154.4183539000005,None,155.40165060000072,156.15143999999782,155.40165060000072,156.15143999999782,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
23,0,23,0,,,,,,,156.16811210000014,None,157.15150659999927,157.90126079999754,157.15150659999927,157.90126079999754,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
24,0,24,0,,,,,,,157.91800809999768,None,158.90136379999967,159.6510746999993,158.90136379999967,159.6510746999993,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
25,0,25,0,,,,,,,159.66745900000024,None,160.65128600000025,161.40091879999818,160.65128600000025,161.40091879999818,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
26,0,26,0,,,,,,,161.41750899999897,None,162.40112919999956,163.1506851999984,162.40112919999956,163.1506851999984,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
27,0,27,0,,,,,,,163.16741019999972,None,164.15062259999831,164.90062839999882,164.15062259999831,164.90062839999882,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
28,0,28,0,,,,,,,164.91727560000072,None,165.9003417999993,166.65039609999803,165.9003417999993,166.65039609999803,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
29,0,29,0,,,,,,,166.66670669999803,None,167.6503628999999,168.40028229999734,167.6503628999999,168.40028229999734,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
30,0,30,0,,,,,,,168.4169464000006,None,169.40035069999794,170.14983690000008,169.40035069999794,170.14983690000008,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
31,0,31,0,,,,,,,170.16664400000082,None,171.15016230000037,171.89981029999763,171.15016230000037,171.89981029999763,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
32,0,32,0,,,,,,,171.91653740000038,None,172.89987399999882,173.64941679999902,172.89987399999882,173.64941679999902,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
33,0,33,0,,,,,,,173.6660766999994,None,174.6495775000003,175.39943909999784,174.6495775000003,175.39943909999784,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
34,0,34,0,,,,,,,175.41615280000042,None,176.3995376999992,177.1489311999976,176.3995376999992,177.1489311999976,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
35,0,35,0,,,,,,,177.1660501999977,None,178.14958529999785,178.89887259999887,178.14958529999785,178.89887259999887,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
36,0,36,0,,,,,,,178.9157204999974,None,179.8994034999996,180.64910919999966,179.8994034999996,180.64910919999966,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
37,0,37,0,,,,,,,180.6657142999975,None,181.64931760000036,182.39900280000074,181.64931760000036,182.39900280000074,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
38,0,38,0,,,,,,,182.41558669999722,None,183.399093,184.1487339999985,183.399093,184.1487339999985,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
