ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,180,-4,4,0.94,,,,,0,0,0,0,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,352.5181294000067,None,352.5181294000067,None,352.0177892000065,None,f,0.8796851999941282,352.5181294000067,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,-4,4,1.0,,,,,0,0,0,0,0,13,13,3,,,,,,,,,,,,,,,,,,,,,,,354.4094859000179,None,354.4094859000179,None,353.909077600023,None,f,1.3883239999995567,354.4094859000179,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,4,-4,1.15,,,,,0,0,0,0,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,356.8110472000262,None,356.8110472000262,None,356.310707800003,None,f,0.5547235999838449,356.8110472000262,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,-4,4,0.97,,,,,0,0,0,0,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,358.3721101000265,None,358.3721101000265,None,357.87177380002686,None,f,1.3137442999868654,358.3721101000265,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,-4,4,1.06,,,,,0,0,0,0,0,16,16,5,,,,,,,,,,,,,,,,,,,,,,,360.7036803000083,None,360.7036803000083,None,360.20335130000603,None,j,0.7901622999925166,360.7036803000083,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,-4,4,1.15,,,,,0,0,0,0,0,17,17,6,,,,,,,,,,,,,,,,,,,,,,,362.50496330001624,None,362.50496330001624,None,362.00460290000774,None,j,0.5088629000238143,362.50496330001624,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,4,-4,1.03,,,,,0,0,0,0,0,18,18,25,,,,,,,,,,,,,,,,,,,,,,,364.0259365000238,None,364.0259365000238,None,363.5255942000076,None,f,0.5558201000094414,364.0259365000238,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,0,-4,4,0.97,,,,,0,0,0,0,0,19,19,44,,,,,,,,,,,,,,,,,,,,,,,365.5870034000254,None,365.5870034000254,None,365.0866573000094,None,f,0.8828644999885,365.5870034000254,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,4,-4,1.0,,,,,0,0,0,0,0,20,20,38,,,,,,,,,,,,,,,,,,,,,,,367.48829170002136,None,367.48829170002136,None,366.98795410001185,None,f,1.109534299990628,367.48829170002136,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,4,-4,0.85,,,,,0,0,0,0,0,21,21,7,,,,,,,,,,,,,,,,,,,,,,,369.609812700015,None,369.609812700015,None,369.10948280000594,None,j,0.49214190000202507,369.609812700015,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
